0: output to I.dmc.o
1148: Timestep is 1.15515625
1694: Timestep is 1.15515625
612: Timestep is 1.15515625
1419: Timestep is 1.15515625
333: Timestep is 1.15515625
1967: Timestep is 1.15515625
1149: Timestep is 1.15515625
1695: Timestep is 1.15515625
613: Timestep is 1.15515625
334: Timestep is 1.15515625
1968: Timestep is 1.15515625
875: Timestep is 1.15515625
1150: Timestep is 1.15515625
1696: Timestep is 1.15515625
614: Timestep is 1.15515625
335: Timestep is 1.15515625
1969: Timestep is 1.15515625
876: Timestep is 1.15515625
1151: Timestep is 1.15515625
615: Timestep is 1.15515625
877: Timestep is 1.15515625
89: Timestep is 1.15515625
1420: Timestep is 1.15515625
1970: Timestep is 1.15515625
878: Timestep is 1.15515625
90: Timestep is 1.15515625
1421: Timestep is 1.15515625
91: Timestep is 1.15515625
1422: Timestep is 1.15515625
1971: Timestep is 1.15515625
92: Timestep is 1.15515625
1972: Timestep is 1.15515625
1423: Timestep is 1.15515625
1697: Timestep is 1.15515625
1424: Timestep is 1.15515625
1152: Timestep is 1.15515625
1698: Timestep is 1.15515625
616: Timestep is 1.15515625
336: Timestep is 1.15515625
1973: Timestep is 1.15515625
879: Timestep is 1.15515625
1154: Timestep is 1.15515625
1699: Timestep is 1.15515625
619: Timestep is 1.15515625
1425: Timestep is 1.15515625
337: Timestep is 1.15515625
1974: Timestep is 1.15515625
1155: Timestep is 1.15515625
1700: Timestep is 1.15515625
620: Timestep is 1.15515625
1426: Timestep is 1.15515625
338: Timestep is 1.15515625
1975: Timestep is 1.15515625
880: Timestep is 1.15515625
1156: Timestep is 1.15515625
1703: Timestep is 1.15515625
621: Timestep is 1.15515625
339: Timestep is 1.15515625
881: Timestep is 1.15515625
1157: Timestep is 1.15515625
1704: Timestep is 1.15515625
622: Timestep is 1.15515625
1976: Timestep is 1.15515625
882: Timestep is 1.15515625
93: Timestep is 1.15515625
1158: Timestep is 1.15515625
1705: Timestep is 1.15515625
623: Timestep is 1.15515625
1427: Timestep is 1.15515625
340: Timestep is 1.15515625
883: Timestep is 1.15515625
94: Timestep is 1.15515625
624: Timestep is 1.15515625
341: Timestep is 1.15515625
1977: Timestep is 1.15515625
884: Timestep is 1.15515625
95: Timestep is 1.15515625
1428: Timestep is 1.15515625
342: Timestep is 1.15515625
1978: Timestep is 1.15515625
96: Timestep is 1.15515625
1429: Timestep is 1.15515625
1979: Timestep is 1.15515625
886: Timestep is 1.15515625
97: Timestep is 1.15515625
1706: Timestep is 1.15515625
1430: Timestep is 1.15515625
98: Timestep is 1.15515625
1159: Timestep is 1.15515625
887: Timestep is 1.15515625
99: Timestep is 1.15515625
1707: Timestep is 1.15515625
625: Timestep is 1.15515625
1431: Timestep is 1.15515625
343: Timestep is 1.15515625
1980: Timestep is 1.15515625
1160: Timestep is 1.15515625
1708: Timestep is 1.15515625
626: Timestep is 1.15515625
1432: Timestep is 1.15515625
888: Timestep is 1.15515625
1161: Timestep is 1.15515625
1709: Timestep is 1.15515625
627: Timestep is 1.15515625
344: Timestep is 1.15515625
1981: Timestep is 1.15515625
889: Timestep is 1.15515625
1162: Timestep is 1.15515625
1710: Timestep is 1.15515625
629: Timestep is 1.15515625
345: Timestep is 1.15515625
1982: Timestep is 1.15515625
1163: Timestep is 1.15515625
1711: Timestep is 1.15515625
630: Timestep is 1.15515625
346: Timestep is 1.15515625
1164: Timestep is 1.15515625
631: Timestep is 1.15515625
1983: Timestep is 1.15515625
100: Timestep is 1.15515625
1712: Timestep is 1.15515625
1433: Timestep is 1.15515625
347: Timestep is 1.15515625
890: Timestep is 1.15515625
101: Timestep is 1.15515625
1165: Timestep is 1.15515625
1713: Timestep is 1.15515625
632: Timestep is 1.15515625
1434: Timestep is 1.15515625
1984: Timestep is 1.15515625
102: Timestep is 1.15515625
1714: Timestep is 1.15515625
1435: Timestep is 1.15515625
348: Timestep is 1.15515625
1985: Timestep is 1.15515625
891: Timestep is 1.15515625
103: Timestep is 1.15515625
1436: Timestep is 1.15515625
892: Timestep is 1.15515625
104: Timestep is 1.15515625
893: Timestep is 1.15515625
105: Timestep is 1.15515625
894: Timestep is 1.15515625
1166: Timestep is 1.15515625
1715: Timestep is 1.15515625
633: Timestep is 1.15515625
1437: Timestep is 1.15515625
349: Timestep is 1.15515625
1986: Timestep is 1.15515625
895: Timestep is 1.15515625
1167: Timestep is 1.15515625
634: Timestep is 1.15515625
1438: Timestep is 1.15515625
350: Timestep is 1.15515625
1987: Timestep is 1.15515625
1168: Timestep is 1.15515625
1716: Timestep is 1.15515625
635: Timestep is 1.15515625
1439: Timestep is 1.15515625
