0: output to I.dmc.o
1996: Timestep is 1.15857536764706
1174: Timestep is 1.15857536764706
119: Timestep is 1.15857536764706
1175: Timestep is 1.15857536764706
1441: Timestep is 1.15857536764706
120: Timestep is 1.15857536764706
360: Timestep is 1.15857536764706
620: Timestep is 1.15857536764706
1442: Timestep is 1.15857536764706
895: Timestep is 1.15857536764706
1998: Timestep is 1.15857536764706
1176: Timestep is 1.15857536764706
122: Timestep is 1.15857536764706
1714: Timestep is 1.15857536764706
362: Timestep is 1.15857536764706
1443: Timestep is 1.15857536764706
896: Timestep is 1.15857536764706
621: Timestep is 1.15857536764706
1999: Timestep is 1.15857536764706
1177: Timestep is 1.15857536764706
1444: Timestep is 1.15857536764706
897: Timestep is 1.15857536764706
622: Timestep is 1.15857536764706
2000: Timestep is 1.15857536764706
1715: Timestep is 1.15857536764706
363: Timestep is 1.15857536764706
898: Timestep is 1.15857536764706
2001: Timestep is 1.15857536764706
1716: Timestep is 1.15857536764706
365: Timestep is 1.15857536764706
899: Timestep is 1.15857536764706
2003: Timestep is 1.15857536764706
366: Timestep is 1.15857536764706
900: Timestep is 1.15857536764706
2005: Timestep is 1.15857536764706
1717: Timestep is 1.15857536764706
368: Timestep is 1.15857536764706
901: Timestep is 1.15857536764706
369: Timestep is 1.15857536764706
1718: Timestep is 1.15857536764706
1445: Timestep is 1.15857536764706
623: Timestep is 1.15857536764706
1178: Timestep is 1.15857536764706
123: Timestep is 1.15857536764706
1719: Timestep is 1.15857536764706
1446: Timestep is 1.15857536764706
624: Timestep is 1.15857536764706
1179: Timestep is 1.15857536764706
124: Timestep is 1.15857536764706
625: Timestep is 1.15857536764706
1180: Timestep is 1.15857536764706
125: Timestep is 1.15857536764706
1720: Timestep is 1.15857536764706
1447: Timestep is 1.15857536764706
626: Timestep is 1.15857536764706
1181: Timestep is 1.15857536764706
126: Timestep is 1.15857536764706
2006: Timestep is 1.15857536764706
127: Timestep is 1.15857536764706
1182: Timestep is 1.15857536764706
1448: Timestep is 1.15857536764706
370: Timestep is 1.15857536764706
128: Timestep is 1.15857536764706
902: Timestep is 1.15857536764706
627: Timestep is 1.15857536764706
1449: Timestep is 1.15857536764706
903: Timestep is 1.15857536764706
628: Timestep is 1.15857536764706
2007: Timestep is 1.15857536764706
1183: Timestep is 1.15857536764706
129: Timestep is 1.15857536764706
1721: Timestep is 1.15857536764706
371: Timestep is 1.15857536764706
1450: Timestep is 1.15857536764706
904: Timestep is 1.15857536764706
629: Timestep is 1.15857536764706
2008: Timestep is 1.15857536764706
1184: Timestep is 1.15857536764706
1451: Timestep is 1.15857536764706
905: Timestep is 1.15857536764706
2010: Timestep is 1.15857536764706
1722: Timestep is 1.15857536764706
372: Timestep is 1.15857536764706
906: Timestep is 1.15857536764706
2011: Timestep is 1.15857536764706
1723: Timestep is 1.15857536764706
373: Timestep is 1.15857536764706
907: Timestep is 1.15857536764706
2012: Timestep is 1.15857536764706
375: Timestep is 1.15857536764706
908: Timestep is 1.15857536764706
2015: Timestep is 1.15857536764706
1724: Timestep is 1.15857536764706
376: Timestep is 1.15857536764706
377: Timestep is 1.15857536764706
1725: Timestep is 1.15857536764706
1726: Timestep is 1.15857536764706
131: Timestep is 1.15857536764706
1727: Timestep is 1.15857536764706
1185: Timestep is 1.15857536764706
132: Timestep is 1.15857536764706
630: Timestep is 1.15857536764706
1452: Timestep is 1.15857536764706
1186: Timestep is 1.15857536764706
133: Timestep is 1.15857536764706
631: Timestep is 1.15857536764706
1187: Timestep is 1.15857536764706
1453: Timestep is 1.15857536764706
135: Timestep is 1.15857536764706
1454: Timestep is 1.15857536764706
909: Timestep is 1.15857536764706
632: Timestep is 1.15857536764706
2016: Timestep is 1.15857536764706
1188: Timestep is 1.15857536764706
137: Timestep is 1.15857536764706
378: Timestep is 1.15857536764706
1455: Timestep is 1.15857536764706
910: Timestep is 1.15857536764706
2017: Timestep is 1.15857536764706
138: Timestep is 1.15857536764706
1456: Timestep is 1.15857536764706
911: Timestep is 1.15857536764706
633: Timestep is 1.15857536764706
2018: Timestep is 1.15857536764706
1189: Timestep is 1.15857536764706
139: Timestep is 1.15857536764706
379: Timestep is 1.15857536764706
1457: Timestep is 1.15857536764706
634: Timestep is 1.15857536764706
2019: Timestep is 1.15857536764706
1190: Timestep is 1.15857536764706
141: Timestep is 1.15857536764706
382: Timestep is 1.15857536764706
1458: Timestep is 1.15857536764706
635: Timestep is 1.15857536764706
1191: Timestep is 1.15857536764706
1728: Timestep is 1.15857536764706
912: Timestep is 1.15857536764706
636: Timestep is 1.15857536764706
383: Timestep is 1.15857536764706
2021: Timestep is 1.15857536764706
384: Timestep is 1.15857536764706
913: Timestep is 1.15857536764706
2022: Timestep is 1.15857536764706
1729: Timestep is 1.15857536764706
385: Timestep is 1.15857536764706
914: Timestep is 1.15857536764706
2023: Timestep is 1.15857536764706
1730: Timestep is 1.15857536764706
386: Timestep is 1.15857536764706
915: Timestep is 1.15857536764706
1192: Timestep is 1.15857536764706
1731: Timestep is 1.15857536764706
143: Timestep is 1.15857536764706
1732: Timestep is 1.15857536764706
637: Timestep is 1.15857536764706
1733: Timestep is 1.15857536764706
1734: Timestep is 1.15857536764706
1459: Timestep is 1.15857536764706
1193: Timestep is 1.15857536764706
144: Timestep is 1.15857536764706
638: Timestep is 1.15857536764706
1194: Timestep is 1.15857536764706
1460: Timestep is 1.15857536764706
146: Timestep is 1.15857536764706
639: Timestep is 1.15857536764706
1461: Timestep is 1.15857536764706
916: Timestep is 1.15857536764706
640: Timestep is 1.15857536764706
2024: Timestep is 1.15857536764706
1195: Timestep is 1.15857536764706
147: Timestep is 1.15857536764706
1735: Timestep is 1.15857536764706
390: Timestep is 1.15857536764706
1462: Timestep is 1.15857536764706
918: Timestep is 1.15857536764706
641: Timestep is 1.15857536764706
2025: Timestep is 1.15857536764706
1197: Timestep is 1.15857536764706
148: Timestep is 1.15857536764706
1464: Timestep is 1.15857536764706
919: Timestep is 1.15857536764706
642: Timestep is 1.15857536764706
2026: Timestep is 1.15857536764706
1198: Timestep is 1.15857536764706
149: Timestep is 1.15857536764706
1737: Timestep is 1.15857536764706
391: Timestep is 1.15857536764706
1465: Timestep is 1.15857536764706
920: Timestep is 1.15857536764706
643: Timestep is 1.15857536764706
2027: Timestep is 1.15857536764706
1200: Timestep is 1.15857536764706
151: Timestep is 1.15857536764706
392: Timestep is 1.15857536764706
1466: Timestep is 1.15857536764706
921: Timestep is 1.15857536764706
2028: Timestep is 1.15857536764706
1738: Timestep is 1.15857536764706
393: Timestep is 1.15857536764706
922: Timestep is 1.15857536764706
2029: Timestep is 1.15857536764706
394: Timestep is 1.15857536764706
396: Timestep is 1.15857536764706
2030: Timestep is 1.15857536764706
1739: Timestep is 1.15857536764706
397: Timestep is 1.15857536764706
924: Timestep is 1.15857536764706
1467: Timestep is 1.15857536764706
644: Timestep is 1.15857536764706
1201: Timestep is 1.15857536764706
152: Timestep is 1.15857536764706
1740: Timestep is 1.15857536764706
1202: Timestep is 1.15857536764706
153: Timestep is 1.15857536764706
645: Timestep is 1.15857536764706
1741: Timestep is 1.15857536764706
1742: Timestep is 1.15857536764706
1468: Timestep is 1.15857536764706
1203: Timestep is 1.15857536764706
155: Timestep is 1.15857536764706
646: Timestep is 1.15857536764706
1204: Timestep is 1.15857536764706
1469: Timestep is 1.15857536764706
2031: Timestep is 1.15857536764706
156: Timestep is 1.15857536764706
1470: Timestep is 1.15857536764706
